QueryVars,ProjVars,JoinVars,LonelyNonResultVars,min_cardinality_of_var_in_TP,No.TPs,TP_sizes,QueryRuntime
"['q', 'b', 'p', 'x', 'l', 'n', 'y', 'd', 'w', 'o', 'u', 's', 'v', 'a', 'm']","[1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]","[21, 35, 42, 87, 29, 22, 57, 49, 49, 91, 42, 82, 11, 97, 73]",5,"[52, 26, 18, 24, 2]",8.556742957103774
['y'],[1],[0],[1],[13],1,[89],8.364702380111364
"['w', 'p', 'c', 'm', 'x', 'q', 'j', 'g', 'o', 'l', 'a', 's', 't', 'd', 'h', 'e', 'y', 'r', 'b', 'v', 'u', 'i', 'f', 'k']","[0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1]","[41, 25, 100, 13, 1, 12, 75, 35, 88, 38, 32, 24, 90, 97, 8, 86, 79, 82, 98, 29, 6, 67, 17, 31]",1,[66],8.69890428019859
"['f', 'y', 'l', 't', 'w', 'q', 'j', 's', 'r', 'n']","[1, 1, 0, 0, 0, 1, 0, 0, 1, 0]","[1, 0, 0, 0, 1, 0, 1, 0, 1, 0]","[1, 1, 1, 1, 0, 1, 1, 0, 1, 1]","[6, 99, 58, 7, 88, 24, 61, 30, 42, 45]",6,"[80, 44, 83, 80, 89, 38]",9.42412151705503
"['b', 'l', 'j', 'c', 'q', 'w', 'a', 'g', 'f', 'v']","[1, 1, 1, 0, 1, 0, 0, 0, 0, 1]","[0, 1, 1, 0, 1, 0, 0, 0, 1, 0]","[1, 1, 0, 1, 0, 1, 0, 1, 0, 0]","[16, 18, 78, 45, 90, 54, 96, 32, 7, 81]",7,"[84, 10, 66, 25, 64, 11, 20]",1.574294427113717
"['k', 'a', 'g', 'e', 'o', 'm']","[0, 1, 1, 1, 1, 0]","[0, 1, 0, 1, 0, 1]","[1, 1, 1, 0, 0, 0]","[79, 93, 82, 4, 21, 85]",3,"[81, 45, 69]",8.315720931639273
"['f', 's', 'l', 't', 'j', 'i', 'g', 'x', 'h', 'm', 'c', 'r', 'k', 'v']","[0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1]","[0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0]","[83, 84, 95, 98, 19, 94, 93, 97, 37, 68, 17, 28, 84, 85]",5,"[46, 97, 97, 42, 57]",3.986364459539491
"['c', 'y', 'b', 'o', 'q', 'a', 'w', 'm', 'k']","[0, 0, 0, 1, 1, 0, 0, 1, 1]","[1, 0, 0, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 1, 0, 1, 1, 0, 0]","[4, 98, 32, 98, 37, 70, 8, 99, 100]",6,"[3, 75, 56, 78, 98, 2]",4.1836079529957795
"['w', 'i', 'b', 'v', 'p', 'c', 'y', 't', 'x', 'e', 'u', 'h', 'd', 'n']","[1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0]","[18, 14, 68, 71, 45, 72, 45, 68, 12, 57, 58, 46, 82, 80]",6,"[28, 14, 93, 7, 27, 26]",0.6589044916533264
"['f', 'm', 't', 'g', 'q']","[0, 0, 1, 0, 0]","[1, 0, 1, 0, 1]","[1, 1, 1, 1, 0]","[29, 35, 23, 71, 6]",4,"[91, 19, 20, 72]",4.241471774428817
"['p', 'k', 'q', 'v', 'g', 't', 'j', 's']","[1, 1, 0, 0, 1, 1, 1, 0]","[0, 1, 1, 0, 0, 1, 0, 1]","[0, 0, 0, 1, 1, 1, 1, 1]","[52, 28, 15, 57, 15, 76, 83, 57]",9,"[14, 45, 28, 56, 44, 76, 23, 48, 65]",8.635529607812483
"['n', 'w', 'h', 'k', 'u', 'r', 'g', 'e', 'a', 't', 'm', 'i', 'f', 'b', 'c', 'x', 'y', 'd', 'q', 's', 'l', 'o', 'p']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]","[1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]","[12, 50, 17, 12, 34, 71, 3, 92, 14, 88, 26, 57, 79, 35, 58, 10, 26, 51, 35, 51, 8, 81, 96]",9,"[2, 45, 29, 48, 53, 15, 26, 55, 36]",1.7542695861896789
"['m', 'p', 'h', 'l', 'o', 'j', 'a', 'b', 'e', 'v', 'y', 'x', 'k', 'r', 'w', 'i', 'q', 'c', 's', 'n', 'f', 'g', 'd']","[1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0]","[1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1]","[0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[26, 27, 31, 52, 22, 29, 17, 5, 7, 40, 29, 73, 74, 83, 24, 96, 8, 60, 24, 59, 3, 4, 19]",10,"[34, 36, 5, 20, 87, 24, 65, 15, 77, 58]",5.204705777257975
"['j', 'x', 'a', 'l', 'h', 'v', 'd', 's', 'o', 'p', 'b', 'y', 'u', 'k', 'e']","[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1]","[1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]","[59, 5, 49, 65, 73, 87, 11, 20, 67, 48, 64, 8, 98, 19, 90]",6,"[49, 47, 65, 61, 62, 45]",5.909456250688037
['g'],[1],[0],[0],[13],4,"[33, 85, 31, 23]",2.9672208335299555
"['h', 'j', 'q', 'c', 'o', 'v', 'd', 'm', 'w', 'r', 'n', 'y', 'f', 'a', 'b']","[0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1]","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1]","[1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]","[25, 18, 71, 1, 19, 23, 63, 50, 4, 80, 98, 17, 28, 10, 83]",1,[99],3.4709395874327367
"['m', 'e', 'v', 'i', 'l', 't', 'w', 'u', 'f', 'b', 'h', 'r', 'x', 'a', 'c']","[0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0]","[1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[75, 17, 45, 41, 64, 15, 89, 73, 72, 75, 77, 82, 41, 50, 2]",5,"[35, 16, 26, 75, 79]",6.248965402152456
"['f', 'a', 'j', 'w', 'b', 'd', 'y', 'm', 'o', 'k', 'c', 'r', 'u', 'e', 'i', 'h', 's', 't', 'g']","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0]","[1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1]","[0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0]","[46, 61, 17, 100, 49, 27, 30, 77, 2, 5, 51, 36, 78, 85, 25, 24, 64, 17, 56]",8,"[19, 24, 63, 49, 7, 27, 19, 73]",3.4009543790310683
"['o', 'u', 'k', 'r', 'd', 'q', 'j', 'f', 'x', 'y', 's', 'w', 'l', 'h', 't', 'p', 'm', 'i', 'c', 'n', 'a']","[1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0]","[0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1]","[22, 18, 42, 84, 2, 14, 40, 45, 56, 35, 49, 30, 49, 84, 15, 54, 17, 7, 98, 68, 42]",5,"[38, 50, 3, 58, 71]",1.9353872590824703
"['v', 's', 'k', 'a', 'g', 'p', 't', 'j']","[0, 1, 1, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 1, 1, 1]","[80, 91, 28, 27, 81, 1, 47, 89]",9,"[63, 86, 45, 82, 93, 71, 41, 19, 15]",6.820318713786432
"['r', 'g', 'i', 'f', 'q']","[1, 1, 1, 0, 0]","[0, 1, 0, 0, 1]","[1, 0, 1, 0, 0]","[68, 2, 60, 19, 64]",1,[79],4.674596968555499
"['w', 'f', 'p', 'b', 'c', 'k', 'i', 'l', 'a', 'h', 'g', 'e', 'v', 'q', 't', 'n', 'y', 'd']","[0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0]","[24, 91, 59, 66, 32, 47, 32, 86, 27, 52, 77, 52, 76, 51, 15, 72, 44, 80]",5,"[48, 67, 1, 64, 81]",5.421548924989413
"['i', 't', 'u', 'd', 'o', 'r', 'w', 'x', 'v', 'm', 's', 'h', 'l']","[1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1]","[0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[80, 95, 16, 64, 78, 6, 64, 97, 25, 35, 15, 87, 49]",3,"[20, 46, 65]",6.690585623929768
"['r', 'i', 'h', 'u', 's', 'k', 'p', 'e', 'l', 'd', 'n', 'b', 'y', 'f', 't', 'q', 'v', 'w', 'a', 'x', 'j', 'c', 'g', 'm', 'o']","[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0]","[22, 11, 52, 24, 40, 36, 38, 46, 61, 38, 60, 11, 87, 99, 79, 96, 30, 50, 50, 91, 76, 8, 34, 50, 5]",1,[37],6.3753171853120465
"['t', 'n', 'i', 'b', 'g', 'o', 's', 'd', 'l', 'f', 'v', 'j', 'h', 'u', 'e', 'p', 'x', 'r', 'k', 'c', 'w', 'a', 'q', 'y', 'm']","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[99, 100, 78, 14, 74, 3, 66, 39, 93, 3, 54, 23, 58, 85, 97, 38, 19, 99, 36, 20, 8, 42, 14, 81, 49]",4,"[19, 80, 27, 49]",4.219011209798784
"['p', 't', 'g', 'o', 'a', 'e', 'h', 'c']","[0, 0, 1, 1, 1, 0, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 1]","[1, 1, 0, 0, 1, 0, 0, 1]","[7, 33, 68, 17, 37, 41, 100, 78]",8,"[14, 3, 86, 92, 90, 81, 58, 39]",7.469271828983016
"['h', 'p', 'f', 'i', 't', 'w', 'c', 'j', 'y', 'l', 'n', 's', 'a']","[0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1]","[0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0]","[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[93, 26, 11, 96, 76, 55, 45, 23, 21, 33, 87, 49, 36]",3,"[69, 4, 98]",0.15790748638437874
"['p', 'j', 'b', 'r', 'v', 'f', 'o', 'c', 'm', 'w', 'd']","[0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1]","[1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0]","[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]","[14, 82, 46, 42, 27, 99, 46, 73, 94, 28, 34]",8,"[27, 96, 80, 75, 35, 96, 38, 42]",2.085284633976875
"['o', 'k', 's', 'u', 'w', 'x']","[0, 1, 1, 0, 0, 1]","[1, 0, 1, 1, 0, 0]","[1, 1, 1, 0, 1, 0]","[56, 84, 26, 73, 89, 90]",7,"[66, 86, 69, 83, 91, 5, 10]",1.4821651329957288
"['m', 'g', 'c', 'a', 'x', 'n', 's', 'b', 'q', 'w', 'i', 't', 'o', 'k', 'f', 'p', 'r', 'u', 'y', 'e', 'v', 'd', 'j']","[1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1]","[0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0]","[48, 2, 62, 49, 85, 25, 15, 58, 71, 18, 43, 39, 99, 58, 87, 78, 19, 33, 51, 45, 70, 57, 70]",3,"[28, 92, 46]",4.486690118285581
"['n', 'x', 'h', 'a', 'o', 'r', 'i']","[0, 1, 0, 1, 0, 0, 1]","[1, 1, 0, 0, 1, 1, 0]","[1, 0, 1, 0, 0, 0, 1]","[30, 20, 21, 95, 24, 10, 25]",1,[69],8.530799907409712
"['t', 'a', 'i', 'e', 'p', 'c', 'b', 'o']","[0, 0, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 0]","[67, 78, 76, 8, 74, 3, 17, 47]",6,"[37, 54, 9, 3, 10, 3]",1.2724683223342759
"['g', 'e', 'p', 's', 'v', 'o', 'a', 'w', 'y', 'f', 'u', 'r', 'x', 'i', 'k', 'h']","[0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1]","[0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0]","[57, 7, 41, 97, 38, 18, 5, 34, 9, 78, 79, 27, 2, 89, 88, 47]",9,"[58, 72, 2, 12, 88, 94, 53, 90, 55]",6.4910999546722286
"['f', 'i', 's', 'e', 'u', 'h', 'a', 'y', 'q', 'l', 'j', 'o', 'b', 'p', 'w', 'x', 'k', 'd', 't', 'r', 'v', 'g', 'm', 'c', 'n']","[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1]","[0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0]","[80, 9, 79, 100, 42, 27, 88, 65, 43, 61, 73, 52, 59, 34, 35, 95, 71, 99, 64, 96, 21, 40, 43, 66, 84]",5,"[21, 36, 79, 59, 45]",8.427195522302497
"['h', 'm', 'u', 'x', 'w', 'l', 'y', 'e', 'g', 'd', 'j', 'p', 'k', 'r', 'v', 'c', 'b']","[0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1]","[67, 84, 62, 53, 50, 53, 34, 4, 52, 13, 99, 58, 9, 45, 3, 36, 72]",3,"[5, 89, 49]",1.4811111688218808
"['u', 'n', 'c', 'b', 'j']","[1, 1, 1, 1, 1]","[0, 0, 1, 0, 1]","[1, 1, 0, 0, 1]","[17, 79, 13, 75, 19]",5,"[90, 98, 6, 5, 29]",5.904834461501239
"['o', 'f', 'r', 'b', 'l', 'c', 'w', 'u', 't', 'q', 'k', 'v', 'm', 'n', 'd', 'h']","[0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1]","[1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1]","[1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1]","[67, 20, 17, 75, 36, 10, 51, 96, 25, 31, 1, 25, 32, 48, 28, 59]",3,"[11, 71, 67]",0.44822407166959166
"['y', 'i', 's', 'e', 'b', 'u', 'g']","[0, 0, 1, 0, 1, 0, 0]","[0, 0, 1, 1, 0, 1, 0]","[1, 0, 0, 0, 0, 0, 0]","[83, 59, 42, 34, 33, 62, 73]",8,"[47, 95, 5, 33, 67, 31, 50, 87]",3.436902838256493
"['p', 'l', 'r', 'x', 'i', 'e', 'd', 'b', 'o', 'v', 'y', 's', 't', 'j', 'm', 'f', 'c', 'h', 'q']","[0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1]","[13, 100, 52, 35, 84, 35, 93, 88, 40, 9, 94, 72, 11, 46, 36, 57, 84, 29, 84]",3,"[34, 41, 98]",2.486801738779933
"['e', 'o', 't', 'w', 'l', 'b', 'x', 'y', 'g', 'r', 'd', 'h', 'a', 'j', 'n', 'i', 'f', 'u', 'v', 'k', 'c', 'q', 'p', 's', 'm']","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1]","[1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0]","[62, 81, 37, 40, 24, 69, 99, 73, 56, 66, 17, 37, 5, 7, 43, 55, 35, 72, 89, 5, 30, 33, 86, 25, 90]",10,"[78, 34, 66, 100, 45, 5, 84, 39, 60, 6]",6.296702224304826
"['s', 'c', 'b', 'x', 'w', 'r']","[0, 1, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 1]","[1, 1, 1, 1, 1, 0]","[68, 64, 39, 74, 87, 29]",1,[9],5.36434407546012
"['l', 's', 'y', 'd', 'j', 'a', 't', 'f', 'c', 'r', 'q', 'o', 'g', 'w', 'u', 'n', 'v']","[1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]","[76, 68, 60, 47, 30, 92, 69, 7, 32, 39, 79, 65, 48, 24, 14, 64, 85]",6,"[17, 86, 53, 71, 92, 27]",2.0427669941676787
"['x', 'b', 'i', 'j', 'l', 's', 'a', 't', 'd', 'c', 'w', 'h', 'u', 'o', 'p', 'g', 'k', 'y', 'r', 'm', 'q', 'n', 'f', 'e']","[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1]","[10, 99, 66, 16, 42, 49, 100, 53, 75, 71, 29, 54, 68, 75, 40, 80, 36, 92, 24, 87, 15, 62, 64, 79]",2,"[63, 22]",7.573528825936767
